Particles,Update_Pos_s,Update_Vel_s,Update_Forces_Acc_s,Total_Time_s
10,15.2987,16.816,6.68383,40.3789
20,16.8394,17.1401,8.36869,44.0793
50,16.5149,18.3311,9.83063,46.5769
100,18.4038,17.4337,9.84872,47.572
200,17.4627,18.2787,9.17732,46.7879
500,18.3871,19.2573,11.5805,51.1606
1000,19.2824,18.6146,13.3965,53.268
2000,21.4359,18.336,16.1594,57.9331
5000,25.1601,22.2323,26.1368,75.7768
10000,120.149,104.569,95.5149,329.912
20000,131.169,114.691,157.6,413.468
