Particles,Update_Pos_s,Update_Vel_s,Update_Forces_Acc_s,Total_Time_s
10,0.244209,0.458891,0.250296,1.02299
50,0.240236,0.439805,0.298453,1.0684
100,0.274557,0.493264,0.358828,1.21164
200,0.387348,0.653104,0.578209,1.74197
500,0.397206,0.585883,0.835834,1.95531
1000,0.527073,0.707873,1.43494,2.86415
2000,1.35956,1.98747,3.22221,6.89143
5000,2.30294,2.63973,6.39658,11.7255
10000,3.29462,5.83559,18.2696,28.1398
20000,15.7131,22.6205,55.8036,96.4435
