Particles,Update_Pos_s,Update_Vel_s,Update_Forces_Acc_s,Total_Time_s
10,0.0640857,0.00831159,0.102665,2.29224
20,0.123008,0.0124915,0.194899,2.42189
50,0.312057,0.0183762,0.502474,3.00286
100,0.518549,0.0250363,0.919262,3.54734
200,0.982272,0.0403348,1.69454,4.74956
500,2.37322,0.116107,4.11161,8.67531
1000,4.92482,0.248378,8.53659,16.0106
2000,11.624,0.708751,21.0735,36.2032
5000,26.0315,1.76729,52.17,83.1567
10000,52.0699,4.66949,111.68,172.686
20000,118.598,11.2868,269.933,405.682
